meters,garage,firepl,bsmt,bdevl,assess_2022
173.82,Y,Y,Y,N,458000
155.89,Y,Y,Y,Y,500000
100.24,N,Y,Y,Y,343000
107.02,N,N,Y,N,404000
140.46,Y,Y,Y,N,517580
98.75,Y,N,N,N,304000
133.03,Y,Y,Y,N,447000
162.3,Y,Y,Y,Y,449000
164.71,N,Y,Y,Y,439000
184.04,N,Y,Y,N,401000
148.64,N,Y,N,N,318000
105.07,N,Y,Y,Y,320000
148.64,Y,Y,Y,Y,559000
136.84,Y,Y,Y,Y,601000
190.72,Y,Y,Y,Y,535000
124.86,N,N,Y,N,360000
171.4,Y,Y,Y,N,630000
192.49,Y,Y,N,N,368000
202.8,Y,Y,Y,Y,537000
124.86,Y,Y,N,N,317000
155.89,Y,Y,Y,Y,400000
146.6,Y,Y,N,N,392000
154.4,N,Y,N,N,311000
170.56,N,Y,Y,N,674000
128.2,N,Y,Y,Y,664000
140.09,Y,Y,Y,Y,567000
130.06,Y,Y,N,N,515000
142.69,Y,Y,Y,N,411000
200.67,N,Y,Y,Y,670000
100.33,Y,Y,N,N,438000
143.81,Y,Y,Y,Y,520000
203.27,Y,Y,Y,N,478000
83.241,N,N,N,N,292000
146.41,Y,Y,Y,Y,588580
116.68,Y,N,Y,Y,360000
217.57,Y,Y,Y,N,735000
128.39,Y,N,Y,N,463000
90.11,Y,Y,N,N,296350
170.94,Y,N,Y,Y,594000
204.2,Y,Y,Y,Y,639830
94.01,N,Y,Y,Y,599000
124.49,N,Y,N,N,453000
154.77,Y,Y,Y,Y,492000
229.47,Y,Y,N,N,782000
165.83,Y,Y,Y,Y,537940
146.6,Y,Y,Y,Y,495860
89.18,Y,Y,Y,Y,458210
167.22,Y,N,N,N,417000
171.68,N,Y,N,N,406000
166.48,N,Y,Y,N,287850
60.201,N,Y,N,N,278000
127.09,N,Y,N,N,335000
65.032,N,N,Y,Y,264340
164.06,Y,Y,Y,Y,525790
140.0,N,N,N,N,275000
149.48,Y,Y,Y,N,650000
221.1,Y,Y,Y,Y,752710
141.21,Y,Y,Y,Y,535000
97.36,N,Y,Y,Y,247000
155.79,N,Y,Y,Y,461000
184.22,Y,Y,Y,Y,574000
151.15,N,Y,Y,Y,538000
126.16,N,Y,Y,Y,431530
134.89,Y,Y,Y,Y,527370
129.41,Y,Y,Y,Y,502200
109.06,Y,Y,Y,Y,394870
142.14,Y,N,Y,N,321660
87.7,N,Y,Y,N,256530
128.85,Y,N,Y,Y,672170
112.97,Y,Y,Y,Y,450640
75.53,N,N,N,N,128000
173.82,Y,Y,Y,N,537160
397.71,Y,Y,Y,Y,553650
235.32,Y,Y,Y,Y,490000
210.88,Y,Y,Y,Y,639600
116.31,Y,N,Y,Y,448070
203.82,Y,Y,Y,Y,487720
107.02,N,Y,N,N,229890
114.27,Y,N,Y,Y,600620
140.46,Y,N,N,N,328130
205.31,Y,Y,N,N,557680
300.82,N,Y,N,N,528960
175.4,Y,N,N,N,367000
124.95,N,N,N,N,196000
52.118,N,N,N,N,87000
112.87,Y,Y,Y,Y,384000
79.525,Y,Y,N,N,232000
162.58,Y,Y,Y,Y,348000
231.32,Y,Y,Y,N,452000
58.343,N,Y,N,N,234000
141.95,Y,Y,Y,Y,368000
90.3,Y,Y,Y,Y,298000
83.241,N,N,N,N,200000
128.2,Y,Y,Y,Y,431000
82.869,Y,Y,N,N,332000
212.19,Y,Y,N,N,528000
237.46,Y,Y,N,N,582000
501.76,Y,Y,N,N,538000
157.37,Y,Y,Y,Y,554000
131.55,Y,Y,N,N,397000
171.49,Y,Y,Y,Y,542000
71.349,N,Y,N,N,209000
128.2,Y,Y,Y,Y,434000
175.86,Y,Y,Y,Y,646000
118.91,N,Y,N,N,217000
96.89,Y,Y,N,N,203000
126.53,Y,Y,N,N,421000
105.9,Y,Y,N,N,356000
180.97,Y,Y,N,N,451000
176.23,Y,Y,N,N,382000
104.05,Y,Y,N,N,344000
180.04,Y,Y,N,N,473000
157.65,Y,Y,Y,Y,581000
109.99,N,N,Y,N,376000
146.04,Y,Y,Y,Y,493000
130.15,Y,Y,Y,Y,444000
189.89,Y,Y,Y,Y,538000
260.12,Y,Y,Y,Y,768120
99.03,N,N,N,N,404000
248.51,Y,Y,Y,Y,435340
96.99,Y,Y,Y,Y,412000
295.06,N,Y,Y,Y,874630
62.43,Y,Y,Y,N,267360
86.95,Y,Y,N,N,205000
102.93,N,N,Y,Y,1517000
128.2,Y,Y,N,N,356000
100.33,Y,N,N,N,308000
60.201,N,N,N,N,167000
141.21,Y,Y,N,N,268000
108.13,Y,N,N,N,202000
133.78,N,N,N,N,197000
66.89,N,N,N,N,184000
52.025,N,Y,N,N,178000
15.607,N,N,N,N,175000
187.75,Y,N,N,N,641000
101.72,Y,Y,N,N,271000
182.08,N,N,N,N,506000
43.943,N,N,N,N,78000
163.5,Y,Y,Y,Y,467000
84.077,N,N,N,N,166000
78.781,Y,Y,N,N,248000
96.71,Y,Y,N,N,305000
342.06,Y,Y,Y,Y,751000
165.83,Y,Y,Y,Y,561000
47.566,Y,Y,N,N,156000
133.59,Y,Y,N,N,328000
77.481,N,Y,N,N,175000
77.202,N,N,Y,N,187000
77.295,Y,N,N,N,220000
94.85,Y,Y,N,N,259000
199.36,Y,Y,N,N,401000
76.459,N,Y,Y,Y,346000
234.58,Y,Y,Y,Y,751000
165.27,Y,Y,Y,Y,524000
98.1,Y,Y,Y,Y,297000
170.19,Y,Y,Y,N,353000
77.202,N,Y,Y,N,228000
55.741,Y,Y,N,N,185000
52.025,N,Y,N,N,168000
100.89,N,Y,Y,Y,200000
80.268,Y,Y,Y,Y,309000
49.703,Y,Y,N,N,164000
44.686,N,Y,N,N,164000
116.68,Y,Y,N,N,197000
185.06,Y,N,Y,Y,519000
57.971,N,Y,N,N,190000
77.295,N,N,N,N,132000
76.737,Y,Y,N,N,155000
53.512,N,N,Y,N,222000
155.7,Y,Y,N,N,364000
117.52,Y,Y,N,N,327000
274.15,Y,Y,N,N,509000
204.47,Y,Y,N,N,489000
201.32,Y,Y,Y,N,471000
107.02,Y,Y,Y,N,276000
119.56,N,Y,Y,Y,342000
127.64,N,N,N,N,286000
165.36,Y,Y,Y,Y,597410
108.78,N,N,Y,Y,351060
272.29,Y,N,N,N,752970
192.4,Y,N,Y,Y,384000
169.91,Y,Y,Y,Y,711000
193.51,Y,Y,Y,Y,609060
60.201,Y,Y,N,N,1521000
106.0,Y,Y,Y,N,289880
214.6,Y,Y,Y,N,804330
141.39,Y,N,Y,N,650070
343.27,Y,Y,N,N,672220
158.02,Y,N,N,N,424000
142.69,Y,Y,Y,Y,1315000
189.52,Y,Y,N,N,443000
456.52,Y,Y,N,N,1374880
94.57,Y,N,N,N,245000
70.048,N,N,N,N,163000
51.282,N,N,N,N,197000
150.59,N,Y,Y,N,415000
207.82,Y,Y,N,N,569000
184.69,Y,N,Y,Y,569380
95.13,N,Y,N,N,459000
136.28,Y,Y,Y,Y,511640
149.38,N,N,N,N,274210
239.59,Y,Y,Y,Y,760500
171.77,Y,Y,Y,Y,461000
72.185,Y,Y,N,N,319000
96.61,N,N,Y,Y,376000
189.98,Y,Y,N,N,392950
83.148,Y,Y,Y,Y,442000
112.97,N,N,N,N,222350
241.08,Y,Y,Y,N,485940
196.67,N,Y,Y,Y,544000
125.51,Y,Y,Y,Y,586860
187.38,N,N,N,N,212860
103.4,Y,Y,N,N,152470
127.09,Y,N,N,N,388000
184.31,Y,Y,Y,Y,632000
142.97,Y,Y,Y,Y,746000
225.75,Y,Y,Y,Y,747090
102.28,Y,Y,N,N,333060
136.66,N,N,N,N,303610
205.12,Y,N,N,N,524610
203.17,Y,Y,Y,Y,681610
101.17,N,N,N,N,283100
180.69,Y,Y,Y,Y,779000
156.07,Y,N,N,N,600420
213.86,Y,Y,N,N,437000
122.35,N,Y,Y,N,386190
244.89,Y,N,N,N,776360
121.05,N,Y,Y,Y,400800
257.62,Y,Y,Y,N,684650
119.75,Y,N,N,N,296070
447.97,Y,Y,Y,Y,1054350
100.33,Y,N,Y,N,300410
91.69,Y,Y,Y,Y,353000
199.09,Y,Y,Y,Y,377220
337.23,Y,Y,Y,Y,774910
280.0,Y,Y,Y,Y,911540
197.51,Y,Y,Y,N,762000
155.42,Y,Y,Y,Y,695000
338.91,Y,Y,Y,Y,722280
132.94,Y,N,Y,Y,440570
342.06,Y,Y,Y,Y,808340
172.14,Y,Y,Y,N,660000
214.04,Y,Y,Y,Y,667000
111.48,Y,N,Y,Y,580000
107.02,N,Y,N,N,182810
107.3,N,Y,Y,Y,405000
112.97,N,N,N,N,168130
115.47,N,Y,Y,N,287360
275.92,Y,Y,Y,Y,804000
160.81,Y,Y,Y,Y,529000
116.03,Y,Y,Y,N,336860
139.26,Y,Y,Y,N,402000
99.87,Y,N,Y,Y,291290
127.09,N,N,Y,Y,350040
156.35,Y,Y,Y,N,461120
174.28,Y,Y,Y,Y,828000
158.67,Y,Y,Y,Y,799000
163.32,Y,Y,Y,Y,613000
241.17,Y,Y,Y,N,589000
212.37,Y,Y,Y,N,648000
120.12,Y,N,Y,Y,533000
197.23,Y,Y,Y,Y,926000
262.17,Y,Y,Y,Y,728000
229.47,Y,Y,Y,Y,639000
159.79,Y,Y,Y,N,686000
178.55,Y,Y,Y,Y,874000
116.96,Y,Y,Y,Y,494000
157.37,Y,Y,Y,Y,530000
163.88,Y,Y,Y,Y,541000
149.48,Y,Y,Y,Y,612000
82.497,Y,N,N,N,392000
127.18,Y,Y,Y,Y,582000
157.09,Y,Y,Y,Y,617000
176.32,Y,Y,Y,Y,717000
226.12,Y,Y,Y,Y,821000
89.37,Y,N,N,N,438000
161.65,Y,Y,Y,Y,696000
186.17,Y,Y,Y,Y,596000
190.63,Y,Y,Y,Y,779000
157.84,Y,Y,Y,Y,649000
166.48,Y,Y,Y,Y,762000
153.56,N,Y,Y,Y,570000
156.72,Y,Y,Y,Y,426000
128.48,N,Y,Y,Y,407320
129.32,Y,Y,Y,Y,439710
123.28,Y,Y,Y,Y,413580
167.22,Y,Y,Y,Y,682000
112.97,N,Y,Y,Y,377050
119.65,Y,Y,Y,N,481420
145.67,Y,Y,Y,N,447500
130.71,Y,Y,Y,Y,590000
116.87,Y,Y,Y,Y,580000
159.23,Y,Y,Y,Y,659000
123.09,Y,Y,Y,Y,558000
175.67,Y,Y,Y,Y,644000
214.04,Y,Y,Y,N,575000
125.69,Y,Y,Y,Y,586000
157.0,Y,Y,Y,Y,704000
15.329,Y,N,N,N,298000
243.77,Y,Y,Y,Y,801000
202.9,Y,Y,N,N,592000
155.05,Y,Y,Y,Y,823000
140.65,Y,Y,Y,Y,605000
122.63,Y,Y,Y,Y,550000
146.5,Y,Y,Y,Y,632000
171.12,Y,Y,Y,Y,708000
238.11,N,N,Y,Y,595000
123.83,Y,Y,Y,Y,572000
112.69,Y,Y,Y,Y,487000
120.03,Y,Y,Y,Y,516000
120.12,Y,Y,Y,Y,553000
119.65,Y,N,Y,Y,538000
174.28,Y,Y,Y,Y,709000
141.95,Y,Y,N,N,438000
191.56,Y,Y,Y,N,547000
170.84,Y,Y,Y,N,556000
138.89,N,Y,Y,Y,536000
167.68,Y,N,Y,Y,725000
177.35,N,Y,Y,Y,657000
133.4,Y,N,Y,Y,512000
127.18,Y,Y,Y,Y,542000
143.16,Y,Y,Y,N,547000
359.9,Y,Y,Y,N,918000
123.93,Y,Y,Y,Y,518000
118.91,Y,Y,Y,N,354120
163.5,Y,Y,Y,Y,712590
217.11,Y,Y,Y,Y,577410
186.08,Y,Y,Y,N,501000
309.92,N,N,Y,Y,741620
83.334,N,N,N,N,185840
155.42,Y,Y,Y,N,514000
164.9,Y,Y,Y,Y,627000
116.87,Y,Y,Y,Y,517000
151.06,Y,Y,Y,Y,644000
143.9,Y,Y,Y,Y,531000
218.32,Y,Y,Y,Y,696000
135.63,Y,N,Y,Y,585000
164.9,Y,Y,Y,Y,588000
159.32,Y,Y,Y,Y,749000
86.21,Y,N,N,N,407000
114.17,Y,Y,Y,Y,514000
80.825,Y,N,N,N,448000
157.93,Y,Y,Y,Y,594000
113.34,Y,Y,Y,Y,530000
193.6,Y,Y,Y,Y,650000
146.87,Y,Y,N,N,583000
343.36,Y,Y,Y,Y,1255960
165.27,Y,Y,Y,Y,573850
146.04,Y,N,Y,Y,630100
151.71,Y,Y,N,N,263890
103.95,Y,N,Y,N,402900
168.34,Y,N,N,N,337040
115.94,N,Y,N,N,244890
349.31,Y,Y,Y,Y,679740
153.56,Y,Y,Y,Y,416000
162.85,Y,Y,Y,Y,563750
132.29,Y,Y,Y,Y,600820
265.88,Y,Y,Y,Y,1088340
87.23,Y,N,N,N,241800
146.69,Y,N,Y,N,513070
92.53,Y,N,Y,N,380240
158.49,Y,Y,Y,Y,603790
209.31,Y,Y,Y,Y,457110
93.55,Y,Y,N,N,383620
177.35,Y,Y,N,N,465000
83.241,N,N,N,N,185310
147.34,N,Y,Y,N,602000
118.07,Y,Y,Y,Y,351420
131.64,Y,Y,Y,N,562620
145.57,Y,Y,Y,Y,578000
240.89,N,Y,Y,Y,533000
147.25,Y,Y,Y,N,391000
202.62,Y,Y,Y,Y,684000
293.75,Y,Y,Y,Y,705000
198.44,Y,Y,Y,Y,462000
208.47,Y,Y,Y,Y,559000
186.64,Y,Y,Y,Y,520000
110.09,N,Y,Y,Y,461000
171.59,Y,Y,Y,Y,565000
130.8,N,Y,Y,Y,451000
119.56,Y,Y,Y,Y,449000
143.81,Y,Y,Y,N,490000
210.7,Y,Y,Y,Y,581000
178.18,Y,Y,Y,Y,590000
124.76,Y,Y,Y,Y,470000
147.15,Y,Y,Y,Y,567000
246.65,Y,Y,Y,Y,594000
193.23,N,N,Y,Y,740000
203.92,Y,Y,Y,Y,532000
234.67,Y,Y,Y,Y,637000
166.48,Y,Y,Y,Y,585000
132.94,Y,Y,Y,Y,543000
180.69,N,Y,N,N,491000
116.12,Y,Y,Y,Y,490000
232.72,Y,Y,N,N,531000
126.9,Y,Y,Y,Y,561000
144.37,N,Y,Y,N,321000
149.2,N,N,Y,N,461000
257.24,Y,Y,Y,Y,926000
115.75,N,N,Y,Y,369180
157.65,N,N,Y,N,298120
121.33,Y,Y,Y,N,480000
137.03,N,Y,Y,Y,529000
206.7,Y,Y,Y,Y,546000
119.1,Y,Y,Y,Y,517000
121.14,N,Y,Y,Y,470000
129.22,Y,Y,Y,Y,476000
162.58,Y,Y,Y,Y,542000
170.29,Y,Y,Y,Y,794000
166.57,Y,Y,Y,Y,773000
219.43,Y,Y,Y,Y,778000
89.18,Y,Y,Y,Y,392000
137.68,Y,Y,Y,Y,612000
119.65,Y,Y,Y,Y,497000
139.16,Y,Y,Y,Y,617000
121.88,Y,Y,Y,Y,496000
183.85,N,Y,Y,Y,508000
101.54,N,Y,Y,Y,507000
135.26,Y,Y,Y,Y,554000
341.88,Y,Y,Y,N,676000
287.34,Y,Y,Y,N,633000
109.16,N,N,N,N,402000
62.709,Y,Y,N,N,453000
100.05,N,Y,Y,Y,505000
138.14,Y,Y,Y,Y,630000
115.01,Y,Y,Y,Y,516000
213.3,Y,Y,Y,N,596000
36.417,N,Y,N,N,275000
151.15,Y,Y,Y,Y,650000
125.97,Y,N,Y,Y,472000
119.56,Y,Y,Y,Y,490000
180.51,Y,Y,Y,Y,529000
128.67,Y,N,Y,Y,487000
184.87,Y,Y,Y,Y,575000
285.3,Y,N,Y,Y,681000
173.72,Y,Y,Y,N,617000
134.89,Y,Y,Y,Y,645000
138.51,Y,Y,Y,Y,599000
116.22,Y,Y,Y,Y,518000
208.66,Y,Y,Y,N,642000
167.59,Y,Y,Y,N,731000
133.87,Y,Y,Y,Y,616000
323.95,Y,Y,Y,N,836000
158.58,N,N,N,N,390000
130.9,Y,Y,Y,Y,562000
231.7,Y,Y,Y,Y,601000
117.15,Y,N,Y,Y,678000
192.4,Y,Y,Y,Y,898480
163.5,Y,Y,N,N,477000
295.71,Y,Y,N,N,845000
127.09,Y,Y,Y,Y,572000
196.02,Y,Y,Y,Y,851000
150.41,Y,Y,Y,Y,569000
141.02,Y,Y,Y,Y,650000
133.13,Y,N,Y,N,514000
131.27,Y,Y,Y,Y,554000
189.7,Y,Y,Y,Y,557000
128.48,Y,Y,Y,N,527000
150.31,Y,Y,Y,Y,631000
122.72,Y,Y,Y,Y,584000
205.87,Y,Y,Y,Y,528000
260.4,Y,Y,N,N,557000
118.45,Y,Y,Y,Y,556000
146.04,Y,Y,Y,Y,527000
204.38,Y,Y,Y,Y,580000
192.58,Y,Y,Y,Y,540000
128.02,Y,N,Y,N,543000
135.26,Y,Y,Y,Y,643000
160.72,Y,Y,Y,Y,741000
149.29,Y,Y,Y,Y,597000
141.11,Y,Y,Y,N,603000
130.52,Y,Y,Y,N,534000
128.11,Y,Y,Y,N,491000
109.25,Y,Y,Y,N,525000
207.35,Y,Y,Y,Y,463000
106.93,Y,N,Y,N,533000
112.87,Y,Y,Y,Y,529000
134.52,Y,Y,Y,Y,614000
157.09,Y,Y,Y,Y,687000
129.69,Y,Y,Y,N,504000
112.41,Y,Y,Y,Y,532000
135.54,Y,Y,Y,Y,578000
232.35,Y,Y,N,N,607000
123.46,Y,Y,Y,Y,446030
105.81,Y,N,Y,Y,326840
239.31,Y,Y,Y,N,578290
236.62,Y,Y,Y,Y,583520
127.09,Y,Y,Y,Y,502220
134.05,Y,N,Y,N,352960
135.17,N,Y,Y,Y,532790
82.497,Y,N,Y,N,239150
139.63,Y,Y,Y,Y,671720
83.334,N,N,N,N,202880
367.71,Y,Y,Y,N,672470
148.45,Y,Y,Y,Y,627000
110.64,Y,Y,Y,Y,599000
71.721,Y,N,N,N,286000
100.7,Y,Y,Y,Y,384000
179.48,Y,N,Y,Y,585000
198.34,Y,Y,Y,Y,798000
220.27,Y,Y,N,N,462000
129.87,Y,Y,Y,Y,543000
167.03,Y,N,Y,Y,484000
206.98,Y,Y,Y,Y,841000
183.57,Y,Y,Y,Y,676000
144.83,N,N,N,N,361000
86.95,N,N,Y,N,319000
142.32,Y,Y,Y,Y,470000
77.202,Y,N,N,N,346000
135.54,Y,Y,Y,Y,528000
152.91,Y,Y,Y,Y,501000
121.23,Y,Y,Y,Y,501000
141.49,Y,Y,Y,Y,555000
187.84,Y,N,Y,Y,797000
205.78,Y,Y,Y,Y,619000
166.01,Y,Y,Y,Y,550000
113.8,Y,Y,Y,Y,513000
118.54,Y,Y,Y,Y,466000
103.86,Y,N,Y,Y,476000
157.65,Y,Y,N,N,298000
135.26,Y,Y,Y,Y,570000
127.83,Y,N,N,N,251680
185.43,Y,Y,Y,N,734730
212.74,Y,Y,Y,Y,539370
203.17,Y,Y,Y,Y,828600
132.01,N,N,Y,N,465000
105.63,Y,Y,Y,Y,339020
170.66,Y,Y,Y,Y,701330
191.65,N,Y,Y,N,437590
134.61,Y,Y,Y,Y,578110
210.7,Y,Y,Y,N,603790
174.0,N,N,Y,N,423840
127.64,Y,N,Y,Y,371370
120.77,N,Y,Y,Y,393250
114.45,N,N,Y,Y,368000
133.03,Y,N,Y,N,312340
134.7,N,N,Y,Y,521790
58.064,N,Y,N,N,178090
142.32,Y,Y,Y,N,458100
177.44,N,Y,Y,N,368720
223.24,N,Y,N,N,453690
108.78,Y,N,Y,Y,470340
124.39,N,Y,Y,N,455000
108.23,Y,Y,Y,Y,409000
123.28,Y,Y,N,N,268000
78.688,N,N,Y,N,222000
95.96,N,N,Y,N,160000
89.18,N,N,N,N,166000
117.52,N,N,Y,N,323000
155.42,Y,N,Y,N,315790
150.5,N,Y,Y,N,417640
89.18,N,N,N,N,305000
270.53,Y,Y,Y,N,561000
187.01,Y,Y,Y,N,623000
281.21,Y,Y,Y,N,754000
143.62,Y,Y,Y,N,422000
177.16,N,Y,Y,N,482550
160.35,Y,Y,N,N,357860
214.14,N,Y,Y,Y,359000
108.88,Y,N,Y,Y,334280
259.1,N,Y,N,N,626240
343.46,Y,Y,Y,N,831000
275.36,Y,Y,Y,N,780000
176.88,Y,Y,Y,Y,694250
44.686,N,N,N,N,308000
83.241,Y,Y,N,N,334000
96.99,N,N,Y,N,396000
89.18,N,N,Y,N,208770
194.16,N,Y,Y,Y,676350
185.62,Y,Y,Y,Y,668120
146.5,Y,Y,Y,N,608110
142.69,Y,N,Y,Y,517120
109.16,Y,Y,Y,Y,472550
217.39,Y,Y,N,N,1023000
106.18,N,Y,Y,Y,404380
176.88,N,Y,Y,Y,767000
151.15,Y,Y,N,N,461580
86.21,Y,Y,N,N,248700
182.46,Y,Y,Y,Y,805000
220.73,Y,Y,Y,Y,463500
280.0,Y,Y,Y,Y,928000
393.07,Y,N,Y,Y,1290000
211.44,Y,Y,Y,Y,732000
134.15,Y,N,N,N,363760
114.64,Y,Y,Y,Y,430800
251.3,Y,Y,Y,Y,614000
160.25,Y,Y,N,N,546000
113.71,Y,Y,Y,Y,458000
114.27,Y,Y,Y,Y,504000
182.55,Y,Y,Y,Y,573000
114.27,N,Y,Y,N,388000
114.17,Y,Y,Y,Y,498000
189.52,Y,Y,Y,Y,523000
157.09,Y,Y,Y,Y,649000
135.17,Y,Y,Y,Y,595000
170.94,Y,Y,Y,Y,725000
124.67,Y,Y,Y,Y,619000
169.08,Y,Y,Y,N,646000
119.19,Y,Y,Y,Y,468000
152.26,Y,Y,Y,Y,582000
153.01,Y,Y,Y,Y,671000
122.07,Y,Y,Y,N,478000
175.4,Y,Y,Y,Y,585000
106.74,Y,Y,Y,Y,430000
169.64,Y,N,Y,Y,642000
184.13,Y,Y,Y,Y,673000
212.65,Y,Y,Y,Y,622000
155.7,Y,Y,Y,Y,648000
153.84,Y,Y,Y,Y,509000
154.12,N,Y,Y,Y,459000
194.44,Y,Y,Y,Y,512000
224.82,Y,Y,Y,N,580000
53.512,N,Y,N,N,342000
112.97,Y,Y,Y,Y,542000
157.74,Y,Y,Y,Y,2393000
190.91,Y,N,Y,N,1042000
156.17,N,N,N,N,336320
199.74,Y,Y,Y,Y,767390
160.16,Y,Y,Y,Y,651000
96.43,Y,Y,N,N,168000
112.87,Y,Y,Y,Y,337000
99.68,N,Y,Y,N,328000
80.361,N,N,N,N,172000
65.403,N,Y,N,N,123000
99.77,Y,N,Y,Y,316000
89.18,Y,Y,N,N,242000
96.99,Y,N,Y,Y,336000
79.339,N,N,Y,Y,280000
112.69,Y,Y,N,N,271000
98.01,N,Y,Y,Y,373000
76.18,Y,N,Y,Y,337000
73.765,N,N,Y,Y,247000
157.65,Y,Y,N,N,332000
123.46,Y,Y,Y,Y,389000
181.99,Y,Y,Y,Y,505000
179.67,Y,Y,N,N,294000
95.41,N,N,Y,Y,317000
99.77,Y,N,Y,N,319000
40.97,N,N,N,N,109000
145.76,Y,Y,N,N,319000
89.18,Y,Y,Y,Y,310000
187.19,N,N,N,N,277000
143.99,Y,Y,Y,N,411000
89.18,N,N,N,N,246000
88.25,N,N,N,N,304000
153.84,Y,Y,Y,Y,382000
112.5,Y,N,N,N,215000
128.29,Y,Y,Y,Y,333000
91.88,Y,N,Y,N,250000
84.727,N,Y,Y,N,240000
87.79,N,N,Y,Y,270000
106.0,Y,N,Y,Y,345000
125.97,Y,N,Y,Y,382000
95.96,Y,Y,Y,Y,292000
103.67,N,N,Y,Y,266000
101.54,Y,Y,Y,Y,377000
105.81,Y,Y,Y,Y,385000
65.403,Y,Y,N,N,266000
135.08,Y,Y,Y,Y,394000
124.86,Y,Y,Y,N,403000
56.67,Y,Y,Y,Y,298000
98.57,N,N,Y,N,206000
80.268,Y,Y,Y,Y,284000
84.727,Y,Y,Y,Y,269000
116.96,Y,Y,Y,Y,433000
226.31,N,Y,Y,N,345000
107.11,N,N,Y,Y,305000
140.56,Y,N,N,N,234000
107.11,N,N,Y,N,217000
89.18,N,N,N,N,142000
79.71,N,Y,Y,Y,315000
95.5,N,N,Y,Y,318000
90.76,N,Y,N,N,284000
165.08,Y,Y,Y,Y,372000
127.92,Y,Y,Y,Y,321000
95.41,N,Y,Y,Y,327000
64.288,Y,Y,N,N,216000
71.442,Y,Y,N,N,275000
93.64,Y,N,Y,Y,230000
120.03,Y,Y,Y,Y,418000
79.339,Y,N,Y,N,302000
79.525,Y,N,Y,Y,353000
96.99,Y,Y,Y,Y,389000
160.25,Y,Y,Y,Y,365000
130.71,N,N,Y,N,326000
91.78,Y,Y,N,N,243000
109.99,Y,Y,N,N,257000
92.25,N,Y,Y,N,223000
98.57,Y,Y,Y,Y,341000
74.601,N,N,Y,Y,236000
106.09,Y,N,Y,N,281000
107.48,Y,Y,N,N,237000
87.14,Y,N,N,N,167000
104.05,N,N,N,N,170000
185.34,Y,N,N,N,333000
68.562,N,N,Y,N,245000
93.36,Y,N,Y,Y,337000
110.09,N,N,Y,Y,314000
106.83,Y,Y,Y,Y,256000
92.9,N,N,Y,N,291000
117.15,Y,N,Y,N,378000
68.19,Y,N,Y,N,254000
89.37,Y,N,Y,Y,285000
120.77,N,N,N,N,223000
110.92,Y,Y,Y,N,348000
92.9,Y,N,N,N,294000
74.322,Y,N,Y,Y,250000
