meters,garage,firepl,bsmt,bdevl,assess_2022
150.59,Y,Y,Y,N,382460
123.56,N,Y,N,N,280370
104.98,N,N,N,N,402000
66.611,N,N,N,N,3690
123.83,Y,Y,Y,Y,295910
205.4,N,Y,Y,Y,419000
120.68,N,Y,Y,N,289380
83.148,N,N,Y,Y,326170
120.77,N,N,Y,Y,419000
115.94,Y,N,N,N,290000
113.71,Y,Y,Y,Y,365000
166.29,Y,N,Y,N,556000
215.72,Y,Y,Y,Y,772000
138.51,Y,Y,Y,N,356000
279.45,Y,Y,Y,N,733000
215.99,Y,Y,Y,Y,668000
196.3,Y,Y,Y,Y,488000
151.33,Y,Y,Y,N,477000
118.17,N,Y,N,N,329000
118.82,Y,Y,Y,Y,383000
133.78,Y,Y,Y,Y,407000
130.06,Y,N,Y,N,355000
153.56,Y,Y,Y,Y,590000
146.69,Y,Y,Y,Y,520000
108.13,N,Y,Y,Y,315000
133.78,Y,Y,Y,Y,457000
211.81,Y,Y,N,N,400000
172.61,Y,Y,Y,Y,630000
157.47,Y,Y,Y,Y,561000
149.2,Y,Y,Y,N,634000
99.03,Y,N,Y,Y,431000
137.4,Y,Y,Y,Y,488000
147.9,Y,Y,Y,Y,565000
156.26,Y,Y,Y,Y,565000
137.86,Y,Y,Y,Y,479000
158.95,Y,Y,Y,Y,433000
121.23,Y,Y,Y,Y,403000
158.58,Y,Y,Y,Y,561000
162.02,Y,Y,Y,Y,500000
212.09,Y,Y,Y,Y,724000
143.16,Y,Y,Y,Y,523000
143.07,Y,Y,Y,Y,541000
141.58,Y,Y,Y,Y,515000
250.55,Y,Y,Y,Y,638000
104.23,Y,Y,Y,Y,444000
142.42,Y,Y,Y,Y,504000
131.55,Y,Y,Y,Y,467000
166.66,Y,Y,Y,Y,424000
127.27,Y,Y,Y,Y,419000
188.03,Y,Y,Y,Y,598000
244.14,Y,Y,Y,Y,810000
130.52,Y,Y,Y,Y,479000
438.5,Y,N,N,N,598000
197.51,Y,Y,Y,Y,627000
270.16,Y,Y,Y,Y,637000
139.81,N,Y,N,N,283000
204.29,Y,Y,Y,Y,678860
215.07,Y,Y,Y,N,679000
146.78,N,Y,Y,N,445580
202.62,N,Y,Y,N,534000
218.13,Y,Y,Y,Y,597000
302.77,Y,Y,N,N,683470
141.21,Y,Y,Y,Y,709000
96.99,N,Y,Y,Y,560000
164.53,Y,Y,Y,Y,539390
128.2,Y,Y,Y,Y,698000
96.61,Y,Y,Y,Y,428000
180.32,Y,Y,Y,Y,769000
240.89,Y,Y,Y,Y,700000
96.24,N,Y,Y,Y,465000
187.01,N,Y,Y,Y,567000
191.47,Y,Y,Y,Y,526000
317.35,Y,Y,Y,Y,898000
